"fullname";"name";"vorname";"lastname";"firstname";"kanton_nummer";"liste_nummer_kanton";"district";"list"
"Definti Gian Franco";"Definti";"Gian Franco";NA;NA;21;"17";NA;NA
"Del Santo Gaia (Limone)";"Del Santo";"Gaia (Limone)";NA;NA;1;"17";NA;NA
"Deley Maeva";"Deley";"Maeva";NA;NA;22;"5";NA;NA
"Demay Alice";"Demay";"Alice";NA;NA;22;"5";NA;NA
"Deuber Ziegler Erica";"Deuber Ziegler";"Erica";NA;NA;25;"15";NA;NA
"Dschulnigg Susanne";"Dschulnigg";"Susanne";NA;NA;20;"23";NA;NA
"Duay Justine";"Duay";"Justine";NA;NA;22;"5";NA;NA
"Dupont Bruno";"Dupont";"Bruno";NA;NA;22;"12";NA;NA
"Dupont Michel";"Dupont";"Michel";NA;NA;22;"12";NA;NA
"Eggimann Kevin";"Eggimann";"Kevin";NA;NA;2;"33";NA;NA
"Egli Bruno";"Egli";"Bruno";NA;NA;17;"11";NA;NA
"El Maghari Mohammed";"El Maghari";"Mohammed";NA;NA;3;"11";NA;NA
"Epiney Pierre-Marie";"Epiney";"Pierre-Marie";NA;NA;23;"7";NA;NA
"Escher Sibylle";"Escher";"Sibylle";NA;NA;13;"34";NA;NA
"Facchinetti Zsola";"Facchinetti";"Zsola";NA;NA;19;"15";NA;NA
"Fasel Jean-Bernard";"Fasel";"Jean-Bernard";NA;NA;10;"25";NA;NA
"Faustinelli Stéphane";"Faustinelli";"Stéphane";NA;NA;23;"7";NA;NA
"Felber Caroline";"Felber";"Caroline";NA;NA;3;"32";NA;NA
"Fischer Alex";"Fischer";"Alex";NA;NA;3;"23";NA;NA
"Fischer Marius";"Fischer";"Marius";NA;NA;3;"24";NA;NA
"Fleischhacker Michael";"Fleischhacker";"Michael";NA;NA;2;"34";NA;NA
"Fleischmann Silence (Guacamole)";"Fleischmann";"Silence (Guacamole)";NA;NA;1;"17";NA;NA
"Folly Kilian";"Folly";"Kilian";NA;NA;22;"23";NA;NA
"Fossati Alberto";"Fossati";"Alberto";NA;NA;21;"17";NA;NA
"Frey Benjamin (Calzone)";"Frey";"Benjamin (Calzone)";NA;NA;1;"17";NA;NA
"Frey Daria (Gelati)";"Frey";"Daria (Gelati)";NA;NA;1;"17";NA;NA
"Frey Herbert";"Frey";"Herbert";NA;NA;3;"23";NA;NA
"Friedli-Johnson Aurélie";"Friedli-Johnson";"Aurélie";NA;NA;25;"2";NA;NA
"Frischknecht Emil";"Frischknecht";"Emil";NA;NA;20;"23";NA;NA
"Frischknecht Martin";"Frischknecht";"Martin";NA;NA;2;"29";NA;NA
"Frye Urban";"Frye";"Urban";NA;NA;3;"32";NA;NA
"Gabriel Silvia";"Gabriel";"Silvia";NA;NA;2;"28";NA;NA
"Gadjiev Musa";"Gadjiev";"Musa";NA;NA;3;"11";NA;NA
"Ganz Andrine Sina (Ravioli)";"Ganz";"Andrine Sina (Ravioli)";NA;NA;1;"17";NA;NA
"Gasser Luke";"Gasser";"Luke";NA;NA;6;"2";NA;NA
"Gaugler Leon";"Gaugler";"Leon";NA;NA;12;"6";NA;NA
"Gauss Chiara Marlene (Pesto)";"Gauss";"Chiara Marlene (Pesto)";NA;NA;1;"17";NA;NA
"Gehrig Roland";"Gehrig";"Roland";NA;NA;3;"30";NA;NA
"Genoud Pierre-Alain";"Genoud";"Pierre-Alain";NA;NA;22;"23";NA;NA
"Genton Virginie";"Genton";"Virginie";NA;NA;22;"5";NA;NA
"Gerber Fredy";"Gerber";"Fredy";NA;NA;13;"34";NA;NA
"Gilgil Newroz (Penne)";"Gilgil";"Newroz (Penne)";NA;NA;1;"17";NA;NA
"Göçmen Halil (Pizza)";"Göçmen";"Halil (Pizza)";NA;NA;1;"17";NA;NA
"Gosteli Christoph";"Gosteli";"Christoph";NA;NA;2;"28";NA;NA
"Gouanou Marthe-Larissa";"Gouanou";"Marthe-Larissa";NA;NA;25;"17";NA;NA
"Grabherr Emil";"Grabherr";"Emil";NA;NA;3;"30";NA;NA
"Graf Hansueli";"Graf";"Hansueli";NA;NA;14;"17";NA;NA
"Grassi Paolo";"Grassi";"Paolo";NA;NA;21;"17";NA;NA
"Grau Roland";"Grau";"Roland";NA;NA;2;"28";NA;NA
"Grob Bruno";"Grob";"Bruno";NA;NA;1;"28";NA;NA
"Grob Fred";"Grob";"Fred";NA;NA;19;"8c";NA;NA
"Grünwald Margrit";"Grünwald";"Margrit";NA;NA;3;"17";NA;NA
"Grüter Thomas";"Grüter";"Thomas";NA;NA;3;"27";NA;NA
"Guerra Michele";"Guerra";"Michele";NA;NA;21;"8";NA;NA
"Guido Flavio";"Guido";"Flavio";NA;NA;10;"24";NA;NA
"Guignard Sylvie";"Guignard";"Sylvie";NA;NA;25;"21";NA;NA
"Gurtner Robert";"Gurtner";"Robert";NA;NA;22;"12";NA;NA
"Hafen Cyril (Finocchio)";"Hafen";"Cyril (Finocchio)";NA;NA;1;"17";NA;NA
"Halter Olena";"Halter";"Olena";NA;NA;3;"11";NA;NA
