firstname,lastname,gender,year_of_birth,age,zip,city,country,party_short,district,incumbent,LINK_personal_website,LINK_facebook,LINK_Twitter,LINK_Instagram
Beatrice,Simon,f,1960,59,3267,Seedorf,Schweiz,BDP,Bern,0,http://www.beatrice-simon.ch,http://facebook.com/regierungsraetin,http://twitter.com/bernerfinanzen,NA
Werner,Salzmann,m,1962,57,3317,Mülchi,Schweiz,SVP,Bern,0,http://www.werner-salzmann.ch,https://www.facebook.com/werner.salzmann.7,https://twitter.com/WernerSalzmann,NA
Heinz,Tännler,m,1960,59,6300,Zug,Schweiz,SVP,Zug,0,http://www.heinz-taennler.ch,https://www.facebook.com/heinztaennler,https://twitter.com/HeinzTannler,NA
Hansjörg,Knecht,m,1960,59,5325,Leibstadt,Schweiz,SVP,Aargau,0,NA,https://www.facebook.com/hansjoergknecht/,https://twitter.com/HansjoergKnecht,NA
Michael,Kreuzer,m,1988,31,3930,Visp,Schweiz,SVP,Wallis,0,https://michael-kreuzer.ch,https://www.facebook.com/kreuzermichael,https://twitter.com/realKreuzer,NA
Ueli (Ulrich),Fisch,m,1963,56,8561,Ottoberg,Schweiz,glp,Thurgau,0,https://www.uelifisch.ch/,https://www.facebook.com/ueli.fisch,https://twitter.com/uelifisch,NA
Isabelle,Chevalley,f,1972,47,1188,St-George,Schweiz,glp,Waadt,0,http://www.isabelle-chevalley.ch,https://www.facebook.com/isabelle.chevalley,https://twitter.com/I_Chevalley,NA
Elisabeth,Augstburger,f,1961,58,4410,Liestal,Schweiz,EVP,Basel-Landschaft,0,http://www.elisabeth-augstburger.ch,https://www.facebook.com/elisabeth.augstburger,http://www.twitter.com,https://www.instagram.com/elisabethaugstburger/
Pierre,Hainard,m,1946,73,2300,La Chaux-de-Fonds,Schweiz,SVP,Neuenburg,0,NA,https://www.facebook.com/pierre.hainard,https://twitter.com/PHainard,NA
Jon,Pult,m,NA,NA,7000,Chur,Schweiz,SP,Graubünden,0,https://jonpult.ch/de/,https://www.facebook.com/jonpultpolitik/,https://twitter.com/jonpult,NA
