fullname;name;vorname;lastname;firstname;kanton_nummer;liste_nummer_kanton;district;list
Genton Paul-Camille;NA;NA;Genton;Paul-Camille;NA;NA;Waadt;Jeunes vert-e-s vaudois-e-s (JVVD)
Jara Tomas;NA;NA;Jara;Tomas;NA;NA;Waadt;Jeunes vert-e-s vaudois-e-s (JVVD)
von Fliedner Saskia;NA;NA;von Fliedner;Saskia;NA;NA;Waadt;Jeunes vert-e-s vaudois-e-s (JVVD)
Mosoba Immaculée;NA;NA;Mosoba;Immaculée;NA;NA;Freiburg;Jeunesse socialiste fribourgeoise
Suarez Alvarez Oxel;NA;NA;Suarez Alvarez;Oxel;NA;NA;Freiburg;Jeunesse socialiste fribourgeoise
Tinguely Léo;NA;NA;Tinguely;Léo;NA;NA;Freiburg;Jeunesse socialiste fribourgeoise
Açig Berfin;NA;NA;Açig;Berfin;NA;NA;Genf;Jeunesse socialiste genevoise
Barras Benoit;NA;NA;Barras;Benoit;NA;NA;Wallis;Jeunesse socialiste Sierre région
Boozarjohmehri Darius;NA;NA;Boozarjohmehri;Darius;NA;NA;Wallis;Jeunesse socialiste Sion-Hérens-Conthey
Perruchoud Alexandra;NA;NA;Perruchoud;Alexandra;NA;NA;Wallis;Jeunesse socialiste Sion-Hérens-Conthey
Amy Jeanne;NA;NA;Amy;Jeanne;NA;NA;Waadt;Jeunesse socialiste vaudoise - JSV
Janeiro Margarida (Maggy);NA;NA;Janeiro;Margarida (Maggy);NA;NA;Waadt;Jeunesse socialiste vaudoise - JSV
Freiermuth Fabienne;NA;NA;Freiermuth;Fabienne;NA;NA;Aargau;JSVP Aargau
Liebi Markus;NA;NA;Liebi;Markus;NA;NA;Aargau;JSVP Aargau
Feldmann Laura;NA;NA;Feldmann;Laura;NA;NA;Bern;Junge Alternative JA!
Tscholl Silvan Bruno;NA;NA;Tscholl;Silvan Bruno;NA;NA;Graubünden;Junge BDP Graubünden
Denoth Jon Peider;NA;NA;Denoth;Jon Peider;NA;NA;Thurgau;Junge Evangelische Volkspartei
Lussi Nicolas;NA;NA;Lussi;Nicolas;NA;NA;Zürich;Junge Grüne
Mestre Teresa;NA;NA;Mestre;Teresa;NA;NA;Luzern;Junge Grüne
Müller Linda;NA;NA;Müller;Linda;NA;NA;Zürich;Junge Grüne
Pfeuti Rahel;NA;NA;Pfeuti;Rahel;NA;NA;Zürich;Junge Grüne
Zeilstra Anna;NA;NA;Zeilstra;Anna;NA;NA;Bern;Junge Grüne / Jeunes Vert-e-s
Blonk Sophie;NA;NA;Blonk;Sophie;NA;NA;Zürich;Junge Grünliberale
Isenrich Florin;NA;NA;Isenrich;Florin;NA;NA;Zürich;Junge Grünliberale
Näf Melissa;NA;NA;Näf;Melissa;NA;NA;Zürich;Junge Grünliberale
Voellmy Xenia Eja Magdalena;NA;NA;Voellmy;Xenia Eja Magdalena;NA;NA;Zürich;Junge Grünliberale
Späti Julia;NA;NA;Späti;Julia;NA;NA;Solothurn;Junge Grünliberale Partei
Betschart Martin Ulrich;NA;NA;Betschart;Martin Ulrich;NA;NA;Basel-Stadt;Junge Grünliberale Partei Mitte
Grüninger Victoria;NA;NA;Grüninger;Victoria;NA;NA;Basel-Stadt;Junge Grünliberale Partei Mitte
Muster Samira-Luzia;NA;NA;Muster;Samira-Luzia;NA;NA;Solothurn;Junge SP Region Olten
Baur Micha;NA;NA;Baur;Micha;NA;NA;Zürich;Junge SVP
Gianola Luciano;NA;NA;Gianola;Luciano;NA;NA;Zürich;Junge SVP
Kindlimann Mike;NA;NA;Kindlimann;Mike;NA;NA;Zürich;Junge SVP
Staubli Severin;NA;NA;Staubli;Severin;NA;NA;Zürich;Junge SVP
Ab Yberg Fabian;NA;NA;Ab Yberg;Fabian;NA;NA;Schwyz;Jungfreisinnige
Klöti Philipp;NA;NA;Klöti;Philipp;NA;NA;Aargau;Jungfreisinnige
Manorajithan Nirosh;NA;NA;Manorajithan;Nirosh;NA;NA;St. Gallen;Jungfreisinnige
Lara Broennimann;NA;NA;Lara;Broennimann;NA;NA;Basel-Stadt;Jungfreisinnige Basel-Stadt
Leon Gaugler;NA;NA;Leon;Gaugler;NA;NA;Basel-Stadt;Jungfreisinnige Basel-Stadt
Michelle Borner;NA;NA;Michelle;Borner;NA;NA;Basel-Stadt;Jungfreisinnige Basel-Stadt
Nicolas Rotzler;NA;NA;Nicolas;Rotzler;NA;NA;Basel-Stadt;Jungfreisinnige Basel-Stadt
Titus Hell;NA;NA;Titus;Hell;NA;NA;Basel-Stadt;Jungfreisinnige Basel-Stadt
Poopalapillai Saambavi;NA;NA;Poopalapillai;Saambavi;NA;NA;Bern;Jungfreisinnige Bern Land
Rutschmann Joel Cedric;NA;NA;Rutschmann;Joel Cedric;NA;NA;Bern;Jungfreisinnige Bern Land
Steffen Loris Noel;NA;NA;Steffen;Loris Noel;NA;NA;Bern;Jungfreisinnige Bern Land
Willi Adrian Franz;NA;NA;Willi;Adrian Franz;NA;NA;Bern;Jungfreisinnige Bern Land
Brenzikoffer Sarah;NA;NA;Brenzikoffer;Sarah;NA;NA;Bern;Jungfreisinnige Bern Stadt
Gsteiger Viktor Urban;NA;NA;Gsteiger;Viktor Urban;NA;NA;Bern;Jungfreisinnige Bern Stadt
Mordasini Semiramis;NA;NA;Mordasini;Semiramis;NA;NA;Bern;Jungfreisinnige Bern Stadt
Muehlethaler Brice Axel;NA;NA;Muehlethaler;Brice Axel;NA;NA;Bern;Jungfreisinnige Bern Stadt
Suresh Sujine;NA;NA;Suresh;Sujine;NA;NA;Bern;Jungfreisinnige Bern Stadt
Brotschi Marco Zeno;NA;NA;Brotschi;Marco Zeno;NA;NA;Zürich;Jungfreisinnige Kanton Zürich
Conrad Manuel;NA;NA;Conrad;Manuel;NA;NA;Zürich;Jungfreisinnige Kanton Zürich
De Viragh Balian;NA;NA;De Viragh;Balian;NA;NA;Zürich;Jungfreisinnige Kanton Zürich
Mancuso Cabello Cristina;NA;NA;Mancuso Cabello;Cristina;NA;NA;Zürich;Jungfreisinnige Kanton Zürich
Mohammed Abdullah;NA;NA;Mohammed;Abdullah;NA;NA;Zürich;Jungfreisinnige Kanton Zürich
Faccio Vasquez Mayra Kyra;NA;NA;Faccio Vasquez;Mayra Kyra;NA;NA;Bern;Jungsozialist*innen
Schulthess Leon;NA;NA;Schulthess;Leon;NA;NA;Luzern;JungsozialistInnen Stadt Luzern
Stalder Severin;NA;NA;Stalder;Severin;NA;NA;Luzern;JungsozialistInnen Stadt Luzern
Keller Sina Sophia;NA;NA;Keller;Sina Sophia;NA;NA;Thurgau;JungsozialistInnen und Gewerkschaftsjugend
Dilekci Seyran;NA;NA;Dilekci;Seyran;NA;NA;Basel-Stadt;JUSO Basel-Stadt Liste 1
Vischer Heinrich;NA;NA;Vischer;Heinrich;NA;NA;Basel-Stadt;LDP - Liberal-Demokratische Partei
de Sainte-Marie Romain;NA;NA;de Sainte-Marie;Romain;NA;NA;Genf;Les Socialistes
de Rougemont Philippe;NA;NA;de Rougemont;Philippe;NA;NA;Genf;Les Vert.e.s
Marchesini Francesca;NA;NA;Marchesini;Francesca;NA;NA;Genf;Les Vert.e.s
de Maio Sara;NA;NA;de Maio;Sara;NA;NA;Genf;Les Vert.e.s transfrontaliers.ères
Fumeaux Nicole;NA;NA;Fumeaux;Nicole;NA;NA;Wallis;Les Verts - Valais Romand
Robert-Charrue Linder Céline;NA;NA;Robert-Charrue Linder;Céline;NA;NA;Jura;Les Verts jurassiens
Peyraud Alexandre Jaques Bernard;NA;NA;Peyraud;Alexandre Jaques Bernard;NA;NA;Genf;Les Verts libéraux
"Lepori Flavio \Sarota\""""";NA;NA;Lepori;"Flavio \Sarota\""""";NA;NA;Tessin;Lista civica: per la proibizione ASSOLUTA d'internare minorenni da parte dei Cantoni svizzeri
Pillier-Carrard Valérie;NA;NA;Pillier-Carrard;Valérie;NA;NA;Freiburg;Liste 2 Parti socialiste fribourgeois
Hofer Michael;NA;NA;Hofer;Michael;NA;NA;Basel-Landschaft;Liste Michael Hofer
Roch Ana;NA;NA;Roch;Ana;NA;NA;Genf;MCG - Mouvement Citoyens genevois
Valentin Francisco;NA;NA;Valentin;Francisco;NA;NA;Genf;MCG - Mouvement Citoyens genevois
Schmidlin Martin Rolf;NA;NA;Schmidlin;Martin Rolf;NA;NA;Bern;Menschen mit Zukunft sagen 5G ade!
Baumann-Fässler Christina;Baumann-Fässler;Christina;NA;NA;5;1;NA;NA
Bucher Noëlle;Bucher;Noëlle;Bucher;Nöelle;3;1;NA;NA
Fehr Düsel Ursina (Nina);Fehr Düsel;Ursina (Nina);Fehr Düsel;Nina;1;1;NA;NA
Fischer Benjamin (Beni);Fischer;Benjamin (Beni);Fischer;Benjamin;1;1;NA;NA
Heer Alfred (Fredi);Heer;Alfred (Fredi);Heer;Alfred;1;1;NA;NA
Huber Roland A.;Huber;Roland A.;Huber;Roland Alfred;20;1;NA;NA
Hurter Thomas;Hurter;Thomas;NA;NA;14;1;NA;NA
Mettler Alfred (Fredi);Mettler;Alfred (Fredi);Mettler;Alfred;20;1;NA;NA
Meyer Lötscher Anne;Meyer Lötscher;Anne;Meyer Loetscher;Anne;10;1;NA;NA
Mundt Michael;Mundt;Michael;NA;NA;14;1;NA;NA
Nüssli Nicole;Nüssli;Nicole;Nüssli-Kaiser;Nicole;13;1;NA;NA
Schneider Sandra;Schneider;Sandra;Schneider Herzig;Sandra;2;1;NA;NA
Tricarico Michel;Tricarico;Michel;Tricarico;Michele;21;1;NA;NA
Tscholl Silvan;Tscholl;Silvan;Tscholl;Silvan Bruno;18;1;NA;NA
von Siebenthal Erich;von Siebenthal;Erich;von Siebenthal-Glauser;Erich;2;1;NA;NA
Zurfluh Fraefel Christina;Zurfluh Fraefel;Christina;Zurfluh;Christina;1;1;NA;NA
Amy-Moret Jeanne;Amy-Moret;Jeanne;Amy;Jeanne;22;2;NA;NA
Brändle-Amolo Yvonne Apiyo;Brändle-Amolo;Yvonne Apiyo;Apiyo Brändle-Amolo;Yvonne;1;2;NA;NA
De Sainte-Marie Romain;De Sainte-Marie;Romain;de Sainte-Marie;Romain;25;2;NA;NA
Friedli-Johnson Aurélie;Friedli-Johnson;Aurélie;NA;NA;25;2;NA;NA
Gasser Luke;Gasser;Luke;NA;NA;6;2;NA;NA
Janeiro Maggy;Janeiro;Maggy;Janeiro;Margarida (Maggy);22;2;NA;NA
Lepori «Sarota» Flavio;Lepori «Sarota»;Flavio;Lepori;"Flavio \Sarota\""""";21;2;NA;NA
Loss Davide;Loss;Davide;Loss;David;1;2;NA;NA
Patierno-Brücker Sandro;Patierno-Brücker;Sandro;Patierno;Sandro;5;2;NA;NA
Bärtschi Daniela;Bärtschi;Daniela;NA;NA;2;3;NA;NA
De Rougemont Philippe;De Rougemont;Philippe;de Rougemont;Philippe;25;3;NA;NA
Ellenberger Claudia;Ellenberger;Claudia;Ellenberger-Richli;Claudia;14;3;NA;NA
Franzen Barbara;Franzen;Barbara;Franzen;Ann Barbara;1;3;NA;NA
Hässig Kornelia;Hässig;Kornelia;Hässig Vinzens;Kornelia;2;3;NA;NA
Hofer-Kühne Rita;Hofer-Kühne;Rita;NA;NA;9;3;NA;NA
Marchesini Forel Francesca;Marchesini Forel;Francesca;Marchesini;Francesca;25;3;NA;NA
Müller André;Müller;André;NA;NA;1;3;NA;NA
Pfister Gian-Reto;Pfister;Gian-Reto;Pfister;Gian;18;3;NA;NA
Portmann Isabella-Maria (Isabelle);Portmann;Isabella-Maria (Isabelle);Portmann;Isabelle;10;3;NA;NA
Schnyder Corinne;Schnyder;Corinne;Schnyder;Corinne Anna;5;3;NA;NA
Striffeler-Mürset Elisabeth;Striffeler-Mürset;Elisabeth;Striffeler;Elisabeth;2;3;NA;NA
Vischer Heiner;Vischer;Heiner;Vischer;Heinrich;12;3;NA;NA
Zemp Baumgartner Yvonne;Zemp Baumgartner;Yvonne;Zemp;Yvonne;3;3;NA;NA
Zopfi Mathias;Zopfi;Mathias;NA;NA;8;3;NA;NA
Zürcher-Böni Martina;Zürcher-Böni;Martina;Zürcher;Martina;1;3;NA;NA
Acig Berfin;Acig;Berfin;Açig;Berfin;25;4;NA;NA
Béglé Claudio;Béglé;Claudio;Béglé Herrera;Claudio;22;4;NA;NA
Bellaïche Judith;Bellaïche;Judith;Bellaiche;Judith;1;4;NA;NA
Caggia Federica;Caggia;Federica;Caggìa;Federica;21;4;NA;NA
Ebnöther Julian;Ebnöther;Julian;Ebnother-Parker;Julian;22;4;NA;NA
Leuzinger Thomas (Leuz);Leuzinger;Thomas (Leuz);Leuzinger;Thomas;14;4;NA;NA
Moser Tiana Angelina;Moser;Tiana Angelina;Moser;Tiana;1;4;NA;NA
Özvegyi András;Özvegyi;András;Özvegyi;Andràs;3;4;NA;NA
Pinto de Magalhães Halua;Pinto de Magalhães;Halua;Pinto de Magalhaes;Halua Alberto;2;4;NA;NA
Scherrer Benno Karl;Scherrer;Benno Karl;Scherrer;Benno;1;4;NA;NA
Schwarzenbach Benjamin (Beni);Schwarzenbach;Benjamin (Beni);Schwarzenbach;Beni;1;4;NA;NA
Shaibal Roy;Shaibal;Roy;NA;NA;1;4;NA;NA
Andrey Simon;Andrey;Simon;NA;NA;22;5;NA;NA
Barandun-Gross Nicole;Barandun-Gross;Nicole;Barandun;Nicole;1;5;NA;NA
Bernhardsgrütter Derungs Rebekka;Bernhardsgrütter Derungs;Rebekka;Bernhardsgrütter;Rebekka;1;5;NA;NA
Bienz Stephan;Bienz;Stephan;Bienz;Stefan;1;5;NA;NA
Blanc Claire-May;Blanc;Claire-May;NA;NA;22;5;NA;NA
Boesch Vogel Caroline;Boesch Vogel;Caroline;Boesch;Caroline;1;5;NA;NA
Cardon Léonie;Cardon;Léonie;NA;NA;22;5;NA;NA
Chatton Angélique;Chatton;Angélique;NA;NA;22;5;NA;NA
De Montmollin Simone;De Montmollin;Simone;de Montmollin;Simone;25;5;NA;NA
De Senarclens Alexandre;De Senarclens;Alexandre;de Senarclens;Alexandre;25;5;NA;NA
Deley Maeva;Deley;Maeva;NA;NA;22;5;NA;NA
Demay Alice;Demay;Alice;NA;NA;22;5;NA;NA
Duay Justine;Duay;Justine;NA;NA;22;5;NA;NA
Genton Virginie;Genton;Virginie;NA;NA;22;5;NA;NA
Glanzmann-Hunkeler Ida;Glanzmann-Hunkeler;Ida;Glanzmann;Ida;3;5;NA;NA
Greter Aurèle (Aurel);Greter;Aurèle (Aurel);Greter;Aurel;1;5;NA;NA
Küng Julia Jana;Küng;Julia Jana;Küng;Julia;9;5;NA;NA
Kunz Stefan (Stefano);Kunz;Stefan (Stefano);Kunz;Stefano;1;5;NA;NA
Kuster Iris;Kuster;Iris;Kuster Anwander;Iris;1;5;NA;NA
Leuba Alexandra;Leuba;Alexandra;NA;NA;22;5;NA;NA
Meige Claire;Meige;Claire;NA;NA;22;5;NA;NA
Perez Danaé;Perez;Danaé;NA;NA;22;5;NA;NA
Piovano Victor;Piovano;Victor;NA;NA;22;5;NA;NA
Praz Joël Swai;Praz;Joël Swai;NA;NA;22;5;NA;NA
Rossi Nicolas;Rossi;Nicolas;NA;NA;22;5;NA;NA
Rüegger-Hurschler Monika;Rüegger-Hurschler;Monika;Rüegger;Monika;6;5;NA;NA
Rupp Clea;Rupp;Clea;NA;NA;22;5;NA;NA
Safaï Helen;Safaï;Helen;NA;NA;22;5;NA;NA
Saugy Raphaël;Saugy;Raphaël;NA;NA;22;5;NA;NA
Schulthess Margaud;Schulthess;Margaud;NA;NA;22;5;NA;NA
Sigg Frank Babette;Sigg Frank;Babette;Sigg;Babette;1;5;NA;NA
Utiger Joël;Utiger;Joël;Utiger;Joel;1;5;NA;NA
Vallon Nicolas;Vallon;Nicolas;NA;NA;22;5;NA;NA
Wiederkehr Josef (Gius);Wiederkehr;Josef (Gius);Wiederkehr;Josef;1;5;NA;NA
Anders Oettli Vera;Anders Oettli;Vera;Anders;Vera;1;6;NA;NA
Borner Michelle;Borner;Michelle;NA;NA;12;6;NA;NA
Brönnimann Lara;Brönnimann;Lara;NA;NA;12;6;NA;NA
Catrina Gianna;Catrina;Gianna;Catrina;Gianna Lisa;18;6;NA;NA
Dupertuis Michaël;Dupertuis;Michaël;Dupertuis;Michael;22;6;NA;NA
Faccio Mayra Kyra;Faccio;Mayra Kyra;Faccio Vasquez;Mayra Kyra;2;6;NA;NA
Gaugler Leon;Gaugler;Leon;NA;NA;12;6;NA;NA
Hell Titus;Hell;Titus;NA;NA;12;6;NA;NA
Maitre Suzanne;Maitre;Suzanne;Maitre-Schindelholz;Suzanne;26;6;NA;NA
Müller-Diethelm Marlene;Müller-Diethelm;Marlene;Müller;Marlene;5;6;NA;NA
Muster Samira;Muster;Samira;Muster;Samira-Luzia;11;6;NA;NA
Reiss-Wenger Gabriela (Gabi);Reiss-Wenger;Gabriela (Gabi);Reiss;Gabi;1;6;NA;NA
Rotzler Nicolas;Rotzler;Nicolas;NA;NA;12;6;NA;NA
Sauter Regula;Sauter;Regula;Sauter-Müller;Regula Esther;14;6;NA;NA
Schurtenberger-Häfliger Helen;Schurtenberger-Häfliger;Helen;Schurtenberger;Helen;3;6;NA;NA
Steiner Katharina (Kathy);Steiner;Katharina (Kathy);Steiner;Kathy;1;6;NA;NA
Weber Céline;Weber;Céline;Weber-Koppenburg;Céline;22;6;NA;NA
Alami Fouad;Alami;Fouad;NA;NA;23;7;NA;NA
Arnold-Herrmann Mirjam;Arnold-Herrmann;Mirjam;NA;NA;9;7;NA;NA
Balmer Sascha;Balmer;Sascha;NA;NA;1;7;NA;NA
Beerli Nina;Beerli;Nina;Beerli-Stäheli;Nina;20;7;NA;NA
Bolomey Pierre-Alain;Bolomey;Pierre-Alain;NA;NA;23;7;NA;NA
Brenneis-Hobi Manuela;Brenneis-Hobi;Manuela;Brenneis;Manuela;12;7;NA;NA
Brunetti Armin;Brunetti;Armin;NA;NA;3;7;NA;NA
Bühler-Gerber Christine;Bühler-Gerber;Christine;Bühler;Christine;2;7;NA;NA
Camenisch Räto;Camenisch;Räto;Camenisch;Räto B.;3;7;NA;NA
Camenzind-Krähenbühl Nadja;Camenzind-Krähenbühl;Nadja;Camenzind;Nadja;5;7;NA;NA
Cutruzzola Francine;Cutruzzola;Francine;NA;NA;23;7;NA;NA
Egli Heinz;Egli;Heinz;Eglli;Heinz;2;7;NA;NA
Epiney Pierre-Marie;Epiney;Pierre-Marie;NA;NA;23;7;NA;NA
Faustinelli Stéphane;Faustinelli;Stéphane;NA;NA;23;7;NA;NA
Gübeli-Grütter Charlotte Barbara;Gübeli-Grütter;Charlotte Barbara;Gübeli-Grütter;Charlotte;2;7;NA;NA
Günter Doris;Günter;Doris;Günter-Bolliger;Doris;20;7;NA;NA
Huguenin-Bergenat Cyril;Huguenin-Bergenat;Cyril;Huguenin;Cyril;25;7;NA;NA
Imhof Ursula;Imhof;Ursula;NA;NA;23;7;NA;NA
Jobin Soumahoro Caroline;Jobin Soumahoro;Caroline;Jobin;Caroline;22;7;NA;NA
Knellwolf Andrea;Knellwolf;Andrea;Knellwolf;Andrea Elisabeth;12;7;NA;NA
Knöpfli Hans Rudolf (Knö);Knöpfli;Hans Rudolf (Knö);Knöpfli;Hansruedi;1;7;NA;NA
Landolt Jonathan Felix;Landolt;Jonathan Felix;Landolt;Jonathan;1;7;NA;NA
Lauper-Duss Erika;Lauper-Duss;Erika;Lauper;Erika;3;7;NA;NA
Lüthi Martin (Heinrich Gartentor);Lüthi;Martin (Heinrich Gartentor);Lüthi (Gartentor);Martin;2;7;NA;NA
Manzoni Joa;Manzoni;Joa;Manzoni;Joaquim;22;7;NA;NA
Mudry Doris;Mudry;Doris;NA;NA;23;7;NA;NA
Mukamba Moyo Augustin;Mukamba Moyo;Augustin;Mukamba;Augustin;22;7;NA;NA
Rappa Francesco;Rappa;Francesco;Rappa;Francesco Marco;2;7;NA;NA
Rickenbach Elisabeth;Rickenbach;Elisabeth;Rickenbach-Signer;Elisabeth;20;7;NA;NA
Schelbert-Kopp Andrea;Schelbert-Kopp;Andrea;Schelbert;Andrea;5;7;NA;NA
Seydoux Brigitte;Seydoux;Brigitte;NA;NA;23;7;NA;NA
Stahel Honegger Brigitta;Stahel Honegger;Brigitta;Stahel;Brigitta;1;7;NA;NA
Stieger Roger;Stieger;Roger;Stieger-Hagen;Roger;20;7;NA;NA
Darbellay Valentine;Darbellay;Valentine;Darbellay;Valentina;23;8;NA;NA
Guerra Michele;Guerra;Michele;NA;NA;21;8;NA;NA
Gugger Niklaus (Nik);Gugger;Niklaus (Nik);Gugger;Nik;1;8;NA;NA
Mestre Sewing Teresa;Mestre Sewing;Teresa;Mestre;Teresa;3;8;NA;NA
Moser Salomon Johann;Moser;Salomon Johann;Moser;Salomon;2;8;NA;NA
Muff Kai Noah;Muff;Kai Noah;Muff;Kai;2;8;NA;NA
Omoruyi Ernest (Amos);Omoruyi;Ernest (Amos);Omoruyi;Ernest;1;8;NA;NA
Pflugshaupt Katharina (Kati);Pflugshaupt;Katharina (Kati);Pflugshaupt;Katharina;1;8;NA;NA
Riesen Thomas;Riesen;Thomas;Riesen;Thomas Markus;20;8;NA;NA
Vergeat Jo;Vergeat;Jo;NA;NA;12;8;NA;NA
Wahli Tom;Wahli;Tom;NA;NA;22;8;NA;NA
Andrianjaramahavalisoa-Schwager Carmen;Andrianjaramahavalisoa-Schwager;Carmen;Andrianjaramahavalisoa;Carmen;14;9;NA;NA
Keller Sina;Keller;Sina;Keller;Sina Sophia;20;9;NA;NA
Lussi Nicolás;Lussi;Nicolás;Lussi;Nicolas;1;9;NA;NA
Pfeuti Rahel Carmen;Pfeuti;Rahel Carmen;Pfeuti;Rahel;1;9;NA;NA
Barras Benoît;Barras;Benoît;Barras;Benoit;23;10;NA;NA
Brenzikofer Sarah;Brenzikofer;Sarah;Brenzikoffer;Sarah;2;10;NA;NA
Conrad Manuel (Manu);Conrad;Manuel (Manu);Conrad;Manuel;1;10;NA;NA
de Viragh Balian;de Viragh;Balian;De Viragh;Balian;1;10;NA;NA
Gsteiger Viktor;Gsteiger;Viktor;Gsteiger;Viktor Urban;2;10;NA;NA
Hasler-Roost Cornelia;Hasler-Roost;Cornelia;Hasler;Cornelia;20;10;NA;NA
Kälin Neuner-Jehle Karin;Kälin Neuner-Jehle;Karin;Kälin;Karin;11;10;NA;NA
Luzio Gianna;Luzio;Gianna;Luzio Wieser;Gianna;18;10;NA;NA
Mancuso Cabello Cristina (Cris);Mancuso Cabello;Cristina (Cris);Mancuso Cabello;Cristina;1;10;NA;NA
Minder Yannick;Minder;Yannick;NA;NA;1;10;NA;NA
Mohammed Hashim Abdullah;Mohammed Hashim;Abdullah;Mohammed;Abdullah;1;10;NA;NA
Mordasini Semi;Mordasini;Semi;Mordasini;Semiramis;2;10;NA;NA
Mühlethaler Brice;Mühlethaler;Brice;NA;NA;2;10;NA;NA
Nesme Obando Cindy Lisa;Nesme Obando;Cindy Lisa;Nesme;Cindy;10;10;NA;NA
Prezioso Batou Stéfanie;Prezioso Batou;Stéfanie;Prezioso;Stefania;25;10;NA;NA
Rusch Stefan;Rusch;Stefan;NA;NA;17;10;NA;NA
Suresh Sujene;Suresh;Sujene;Suresh;Sujine;2;10;NA;NA
Acrémann André Albert;Acrémann;André Albert;NA;NA;17;11;NA;NA
Benninger Claudia;Benninger;Claudia;Benninger Brun;Claudia;9;11;NA;NA
Burger Philippe (Pipo Langstrumpf);Burger;Philippe (Pipo Langstrumpf);Burger;Philippe;1;11;NA;NA
Egli Bruno;Egli;Bruno;NA;NA;17;11;NA;NA
El-Shikh Inès;El-Shikh;Inès;El-Shikh;Ines;25;11;NA;NA
El Maghari Mohammed;El Maghari;Mohammed;NA;NA;3;11;NA;NA
Fehr Dominik (Nick);Fehr;Dominik (Nick);Fehr;Dominik;1;11;NA;NA
Gadjiev Musa;Gadjiev;Musa;NA;NA;3;11;NA;NA
Halter Olena;Halter;Olena;NA;NA;3;11;NA;NA
Hernández Rodriguez Yosvany;Hernández Rodriguez;Yosvany;NA;NA;3;11;NA;NA
Incerti Mattia Luca;Incerti;Mattia Luca;Incerti;Mattia;1;11;NA;NA
Komatina Milomirka;Komatina;Milomirka;NA;NA;3;11;NA;NA
Leuenberger Abilasa;Leuenberger;Abilasa;NA;NA;3;11;NA;NA
Luchsinger Naila;Luchsinger;Naila;NA;NA;3;11;NA;NA
Mengolian Daniel;Mengolian;Daniel;NA;NA;3;11;NA;NA
Nyffeler Batou Françoise;Nyffeler Batou;Françoise;Nyffeler;Françoise;25;11;NA;NA
Poopalaillai Saambavi;Poopalaillai;Saambavi;Poopalapillai;Saambavi;2;11;NA;NA
Preuss Roland;Preuss;Roland;NA;NA;17;11;NA;NA
Rutschmann Joel;Rutschmann;Joel;Rutschmann;Joel Cedric;2;11;NA;NA
Schielly Michel;Schielly;Michel;NA;NA;12;11;NA;NA
Scholz-Zwyssig Anja;Scholz-Zwyssig;Anja;Scholz;Anja;20;11;NA;NA
Shahid Safiullah;Shahid;Safiullah;NA;NA;3;11;NA;NA
Simao Ograbek Kevin;Simao Ograbek;Kevin;Simão Ograbek;Kevin;21;11;NA;NA
Stadler Sandra;Stadler;Sandra;Stadler-Kuster;Sandra;20;11;NA;NA
Steffen Loris;Steffen;Loris;Steffen;Loris Noel;2;11;NA;NA
Uhler Roland;Uhler;Roland;NA;NA;17;11;NA;NA
Willi Adrian;Willi;Adrian;Willi;Adrian Franz;2;11;NA;NA
Baldinger François Ernest;Baldinger;François Ernest;NA;NA;22;12;NA;NA
Boozarjomehri Darius;Boozarjomehri;Darius;Boozarjohmehri;Darius;23;12;NA;NA
Brügger Dani;Brügger;Dani;Brügger;Daniel;2;12;NA;NA
Buchli Daniel;Buchli;Daniel;Buchli;Daniel Walter;18;12;NA;NA
De Maio Sara;De Maio;Sara;de Maio;Sara;25;12;NA;NA
Dupont Bruno;Dupont;Bruno;NA;NA;22;12;NA;NA
Dupont Michel;Dupont;Michel;NA;NA;22;12;NA;NA
Gurtner Robert;Gurtner;Robert;NA;NA;22;12;NA;NA
Hess Paul (Pablo);Hess;Paul (Pablo);Hess;Pablo;1;12;NA;NA
Montet Jean-Paul;Montet;Jean-Paul;NA;NA;22;12;NA;NA
Perruchoud Alex;Perruchoud;Alex;Perruchoud;Alexandra;23;12;NA;NA
Reinhart Anita (Nisa);Reinhart;Anita (Nisa);Reinhart;Anita;1;12;NA;NA
Rodriguez Chantal;Rodriguez;Chantal;NA;NA;22;12;NA;NA
Stucki-Steiner Carine;Stucki-Steiner;Carine;Stucki;Carine;2;12;NA;NA
Vernay Marguerite;Vernay;Marguerite;NA;NA;22;12;NA;NA
Vernay Pierre-Maurice;Vernay;Pierre-Maurice;NA;NA;22;12;NA;NA
Von Rohr Monique;Von Rohr;Monique;NA;NA;22;12;NA;NA
Brignoli Lutz Francesca;Brignoli Lutz;Francesca;Brignoli Lutz;Francesca Maria Lucia;1;13;NA;NA
Garcia Caroline (Carolina);Garcia;Caroline (Carolina);Garcia;Carolina;1;13;NA;NA
Geser-Fischer Karin;Geser-Fischer;Karin;Geser;Karin;1;13;NA;NA
Kenel-Paredi Olivia;Kenel-Paredi;Olivia;Kenel-Paredi;Olivia Anna;1;13;NA;NA
Kupper Staub Vera;Kupper Staub;Vera;Kupper Staub;Vera Anna;1;13;NA;NA
Mabillard Corinne;Mabillard;Corinne;Mabillard;Corinne Andrea;1;13;NA;NA
Mändli Lerch Karin;Mändli Lerch;Karin;Mändli-Lerch;Karin;1;13;NA;NA
Mariani Gabriela (Gaby);Mariani;Gabriela (Gaby);Mariani;Gabriela;1;13;NA;NA
Meli Hedwig (Hedy);Meli;Hedwig (Hedy);Meli;Hedwig;1;13;NA;NA
